"id","code","name","northing","easting","room","one","two","three","four","created_at","updated_at"
"1","86","Ashford","141434","600221","67.10","119.09","145.43","168.00","223.63","15/6/2015 16:00:22","15/6/2015 16:00:22"
"2","107","Aylesbury","214661","478304","72.76","123.58","153.02","198.43","291.34","15/6/2015 16:00:22","15/6/2015 16:00:22"
"3","121","Barnsley","406788","433805","58.08","72.72","87.41","99.79","136.93","15/6/2015 16:00:22","15/6/2015 16:00:22"
"4","154","Barrow-in-Furness","482933","325367","63.25","78.00","92.05","110.47","136.93","15/6/2015 16:00:22","15/6/2015 16:00:22"
"5","41","Basingstoke","148507","451057","68.17","134.02","161.98","192.28","266.65","15/6/2015 16:00:22","15/6/2015 16:00:22"
"6","27","Bath","165408","377834","72.49","135.74","167.23","189.86","291.90","15/6/2015 16:00:22","15/6/2015 16:00:22"
"7","94","Bedford","247673","508104","62.18","103.02","133.32","156.38","209.07","15/6/2015 16:00:23","15/6/2015 16:00:23"
"8","19","Birmingham","288766","414557","57.34","98.87","120.29","132.00","173.41","15/6/2015 16:00:23","15/6/2015 16:00:23"
"9","18","Black Country","294700","390687","60.00","86.30","104.89","120.29","151.50","15/6/2015 16:00:23","15/6/2015 16:00:23"
"10","80","Blackwater Valley","151430","484545","79.92","141.24","176.56","210.70","312.00","15/6/2015 16:00:23","15/6/2015 16:00:23"
"11","25","Bolton and Bury","410824","374514","48.67","84.00","98.96","114.84","143.84","15/6/2015 16:00:23","15/6/2015 16:00:23"
"12","38","Bournemouth","97255","403493","65.48","123.58","153.02","188.79","253.15","15/6/2015 16:00:23","15/6/2015 16:00:23"
"13","129","Bradford & South Dales","245354","212588","58.26","80.55","97.81","111.83","123.58","15/6/2015 16:00:23","15/6/2015 16:00:23"
"14","82","Brighton and Hove","112885","536477","82.66","153.02","192.48","230.28","339.36","15/6/2015 16:00:23","15/6/2015 16:00:23"
"15","28","Bristol","188691","373566","67.37","121.19","151.50","175.74","242.33","15/6/2015 16:00:23","15/6/2015 16:00:23"
"16","92","Bury St Edmunds","263643","585158","64.14","102.25","126.31","150.36","216.00","15/6/2015 16:00:23","15/6/2015 16:00:23"
"17","93","Cambridge","254613","553139","80.52","126.05","140.74","168.45","218.16","15/6/2015 16:00:23","15/6/2015 16:00:23"
"18","15","Canterbury","157458","613100","74.62","123.86","154.82","180.45","280.60","15/6/2015 16:00:23","15/6/2015 16:00:23"
"19","61","Central Greater Manchester","398840","379446","67.20","101.98","119.98","133.32","186.47","15/6/2015 16:00:23","15/6/2015 16:00:23"
"20","57","Central Lancs","434281","355908","53.67","89.46","109.32","126.58","161.10","15/6/2015 16:00:23","15/6/2015 16:00:23"
"21","146","Central London","179603","525697","136.52","260.64","302.33","354.46","417.02","15/6/2015 16:00:24","15/6/2015 16:00:24"
"22","102","Central Norfolk & Norwich","300851","614321","61.45","92.98","116.52","135.36","184.11","15/6/2015 16:00:24","15/6/2015 16:00:24"
"23","91","Chelmsford","214796","576400","69.08","126.00","151.50","185.29","231.92","15/6/2015 16:00:24","15/6/2015 16:00:24"
"24","30","Cheltenham","218452","409216","68.35","111.83","143.34","174.43","240.59","15/6/2015 16:00:24","15/6/2015 16:00:24"
"25","110","Cherwell Valley","234888","456773","73.53","126.27","157.56","187.87","248.35","15/6/2015 16:00:24","15/6/2015 16:00:24"
"26","124","Chesterfield","368186","441485","50.94","80.55","97.81","113.92","149.59","15/6/2015 16:00:24","15/6/2015 16:00:24"
"27","166","Chichester","121806","499510","73.58","134.02","168.00","198.11","268.03","15/6/2015 16:00:24","15/6/2015 16:00:24"
"28","108","Chilterns","195502","487757","73.64","145.43","182.45","236.34","344.05","15/6/2015 16:00:24","15/6/2015 16:00:24"
"29","8","Colchester","229065","596381","64.78","103.56","132.32","161.10","204.49","15/6/2015 16:00:24","15/6/2015 16:00:24"
"30","52","Coventry","292071","438951","65.65","92.05","111.48","128.19","170.67","15/6/2015 16:00:24","15/6/2015 16:00:24"
"31","78","Crawley & Reigate","135379","526172","79.55","151.50","185.81","222.54","309.67","15/6/2015 16:00:24","15/6/2015 16:00:24"
"32","67","Darlington","521659","405647","59.28","75.00","90.90","107.11","149.17","15/6/2015 16:00:24","15/6/2015 16:00:24"
"33","122","Derby","338487","433536","58.82","84.75","103.56","117.70","155.34","15/6/2015 16:00:24","15/6/2015 16:00:24"
"34","116","Doncaster","414097","466421","55.12","78.08","93.23","103.56","143.84","15/6/2015 16:00:24","15/6/2015 16:00:24"
"35","85","Dover-Shepway","144061","616233","59.09","86.30","115.07","143.84","168.00","15/6/2015 16:00:24","15/6/2015 16:00:24"
"36","66","Durham","541380","409670","65.00","74.79","86.30","97.81","138.08","15/6/2015 16:00:24","15/6/2015 16:00:24"
"37","58","East Cheshire","374857","384976","70.90","103.56","130.03","168.00","249.60","15/6/2015 16:00:25","15/6/2015 16:00:25"
"38","56","East Lancs","441552","373765","53.50","80.03","90.90","104.71","142.80","15/6/2015 16:00:25","15/6/2015 16:00:25"
"39","109","East Thames Valley","175469","491985","76.27","151.50","193.92","244.89","334.43","15/6/2015 16:00:25","15/6/2015 16:00:25"
"40","164","Eastbourne","111196","558134","67.00","116.53","151.50","182.45","235.34","15/6/2015 16:00:25","15/6/2015 16:00:25"
"41","49","Eastern Staffordshire","326992","415581","60.04","81.58","103.56","123.58","162.40","15/6/2015 16:00:25","15/6/2015 16:00:25"
"42","112","Exeter","86514","277610","74.34","116.52","141.24","164.79","218.63","15/6/2015 16:00:25","15/6/2015 16:00:25"
"43","33","Fylde Coast","441789","345754","62.81","85.00","113.92","130.00","150.00","15/6/2015 16:00:25","15/6/2015 16:00:25"
"44","48","Gloucester","218817","374019","68.18","92.05","122.36","147.13","187.14","15/6/2015 16:00:25","15/6/2015 16:00:25"
"45","130","Grantham & Newark","341024","484247","59.04","75.78","99.06","110.72","156.00","15/6/2015 16:00:25","15/6/2015 16:00:25"
"46","23","Greater Liverpool","391920","340652","57.77","90.90","104.89","120.82","156.00","15/6/2015 16:00:25","15/6/2015 16:00:25"
"47","132","Grimsby","405879","519506","53.50","75.00","92.05","99.04","129.47","15/6/2015 16:00:25","15/6/2015 16:00:25"
"48","79","Guildford","147022","504284","84.04","170.67","222.96","268.03","345.21","15/6/2015 16:00:25","15/6/2015 16:00:25"
